"Player","Team","REC","YDS","TDS","FL","FPTS"
"Tommy Tremble","CAR","20.7","188.8","1.6","0.1","49.3"
"Elijah Arroyo","SEA","19.0","198.7","1.6","0.1","48.2"
"Adam Trautman","DEN","19.3","197.1","1.5","0.0","47.9"
"Luke Musgrave","GB","20.5","200.5","1.1","0.0","47.2"
"Ja'Tavion Sanders","CAR","21.5","190.1","1.0","0.1","46.6"
"Eli Raridon","NE","18.8","192.7","1.5","0.6","46.2"
"Elijah Higgins","ARI","22.0","196.1","0.8","0.6","45.5"
"Ben Sims","MIA","19.5","184.6","1.2","0.0","44.9"
"Marlin Klein","HOU","19.5","192.6","1.1","0.5","44.4"
"Davis Allen","LAR","16.9","157.3","1.9","0.0","43.8"
"John Bates","WAS","17.1","170.0","1.6","0.6","42.4"
"Jeremy Ruckert","NYJ","19.7","146.8","1.3","0.0","41.9"
"Jake Tonges","SF","16.7","167.2","1.3","0.0","41.5"
"Nate Boerkircher","JAC","14.9","156.8","1.3","0.5","37.2"
"Connor Heyward","LV","14.0","103.0","2.0","0.0","36.3"
"Drew Sample","CIN","15.1","123.0","1.1","0.1","33.8"
"Cade Stover","HOU","15.2","128.1","0.9","0.1","33.1"
"Nate Adkins","DEN","11.9","88.3","1.8","0.0","31.7"
"Nick Vannett","SEA","10.0","96.0","2.0","0.0","31.6"
"Jack Endries","CIN","13.0","123.0","1.0","0.0","31.3"
"Luke Schoonmaker","DAL","13.2","121.6","0.9","0.0","31.0"
"Ben Sinnott","WAS","11.1","114.4","1.4","0.0","30.9"
"Zack Kuntz","DAL","12.0","128.0","1.0","0.0","30.8"
"Charlie Woerner","ATL","14.5","127.4","0.6","0.0","30.7"
"Jackson Hawes","BUF","10.5","115.0","1.4","0.0","30.6"
"Hayden Rucci","SF","12.0","118.0","1.0","0.0","29.8"
"Will Mallory","IND","11.0","126.0","1.0","0.0","29.6"
"Tanner Hudson","CIN","13.0","110.1","0.9","0.1","29.2"
"Cam Grandy","CIN","13.0","100.0","1.0","0.0","29.0"
"Teagan Quitoriano","ARI","12.0","109.0","1.0","0.0","28.9"
"Grant Calcaterra","PHI","11.0","115.5","1.0","0.0","28.6"
"Dallen Bentley","DEN","12.0","104.0","1.0","0.0","28.4"
"Bauer Sharp","TB","11.0","113.0","1.0","0.0","28.3"
"Foster Moreau","HOU","9.3","105.6","1.3","0.0","27.6"
"Tanner Conner","NYG","10.0","113.0","1.0","0.0","27.3"
"Mo Alie-Cox","IND","10.8","110.9","0.9","0.1","27.0"
"Jaheim Bell","PIT","10.0","98.0","1.0","0.0","25.8"
"Durham Smythe","BAL","9.8","94.0","0.7","0.1","23.5"
"Mitchell Evans","CAR","8.0","71.0","1.0","0.0","21.1"
"Joe Royer","CLE","8.8","81.6","0.7","0.0","20.9"
"Max Klare","LAR","7.5","82.6","0.7","0.0","19.8"
"Justin Joly","DEN","8.0","70.9","0.7","0.0","19.0"
"Brevyn Spann-Ford","DAL","7.4","70.9","0.7","0.0","18.5"
"Payne Durham","TB","7.2","70.7","0.6","0.1","18.0"
"Sam Roush","CHI","6.8","72.9","0.6","0.0","17.9"
"Oscar Delp","NO","7.8","73.3","0.5","0.1","17.9"
"Tip Reiman","ARI","7.9","62.2","0.6","0.0","17.7"
"Devin Culp","TB","5.5","59.0","1.0","0.0","17.4"
"Ian Thomas","LV","6.9","62.0","0.6","0.0","16.5"
"Hunter Long","JAC","5.0","45.0","1.0","0.0","15.5"
"Luke Farrell","SF","4.2","40.7","0.3","0.0","9.9"
"Tanner Koziol","JAC","3.9","36.6","0.3","0.0","9.2"
"CJ Dippre","NE","3.9","37.3","0.3","0.0","9.2"
"Ko Kieft","TB","3.7","36.1","0.3","0.0","9.1"
"Tyler Conklin","DET","3.7","38.0","0.3","0.0","8.9"
"Drew Ogletree","IND","3.7","35.3","0.3","0.0","8.7"
"Eric Saubert","SEA","3.4","34.4","0.3","0.0","8.6"
"Josh Cuevas","BAL","3.3","35.8","0.3","0.0","8.6"
"Josh Whyle","GB","3.6","33.0","0.3","0.0","8.6"
"Johnny Mundt","PHI","3.5","35.4","0.2","0.0","8.2"
"Jack Stoll","CLE","3.6","30.3","0.2","0.0","7.5"
"Chris Manhertz","NYG","1.8","16.3","0.1","0.0","4.2"
"Quintin Morris","JAC","0.0","0.0","0.0","0.0","0.0"
"Cole Turner","MIA","0.0","0.0","0.0","0.0","0.0"
"Jelani Woods","NYJ","0.0","0.0","0.0","0.0","0.0"
"Lucas Krull","DEN","0.0","0.0","0.0","0.0","0.0"
"Blake Whiteheart","CLE","0.0","0.0","0.0","0.0","0.0"
"Julian Hill","NE","0.0","0.0","0.0","0.0","0.0"
""
""
